Designator,Mid X,Mid Y,Layer,Rotation
C1,62.93615,-44.958,Bottom,90
C2,98.552,-44.958,Bottom,90
C3,62.865,-62.484,Bottom,90
C4,98.552,-62.738,Bottom,90
C5,67.692,-78.9725,Bottom,90
R1,56.84015,-44.958,Bottom,90
R2,61.849,-56.642,Bottom,-90
R3,60.90415,-44.958,Bottom,90
R4,58.87215,-44.958,Bottom,90
R5,57.785,-56.642,Bottom,-90
R6,59.817,-56.642,Bottom,-90
R7,97.536,-56.642,Bottom,-90
R8,92.456,-44.958,Bottom,90
R9,94.488,-44.958,Bottom,90
R10,96.52,-44.958,Bottom,90
R11,95.504,-56.642,Bottom,-90
R12,93.472,-56.642,Bottom,-90
R13,61.976,-74.168,Bottom,-90
R14,56.769,-62.484,Bottom,90
R15,58.801,-62.484,Bottom,90
R16,60.833,-62.484,Bottom,90
R17,59.944,-74.168,Bottom,-90
R18,57.912,-74.168,Bottom,-90
R19,97.536,-74.422,Bottom,-90
R20,92.456,-62.738,Bottom,90
R21,94.488,-62.738,Bottom,90
R22,96.52,-62.738,Bottom,90
R23,95.504,-74.422,Bottom,-90
R24,93.472,-74.422,Bottom,-90
U1,59.88815,-50.8,Bottom,90
U2,95.504,-50.8,Bottom,90
U3,59.944,-68.326,Bottom,90
U4,95.504,-68.58,Bottom,90
